Yearweek,Number of deaths
"2023-01",1286.966631
"2023-02",1286.788691
"2023-03",1297.347946
"2023-04",1286.624669
"2023-05",840.687391
"2023-06",1287.289668
"2023-07",1310.120845
"2023-08",1030.812298
"2023-09",1294.346085
"2023-10",1272.411857
"2023-11",1286.505368
"2023-12",1291.335957
"2023-13",1304.311909
"2023-14",1309.000627
"2023-15",1307.635402
"2023-16",1300.749480
"2023-17",1286.903762
"2023-18",892.283397
"2023-19",1286.473302
"2023-20",1287.416052
"2023-21",1287.588547
"2023-22",1302.980232
"2023-23",1288.489382
"2023-24",1287.137790
"2023-25",959.540724
"2023-26",1098.380483
"2023-27",1289.917600
"2023-28",1287.511378
"2023-29",1244.597718
"2023-30",1286.583610
"2023-31",1157.688702
"2023-32",1287.515242
"2023-33",1206.578629
"2023-34",1291.859902
"2023-35",1310.936984